num,canal,marca,tarefa,obs,resp,progresso,inicio,termino
1,INSTAGRAM,FCX CONSULTORIA,Acesso — login e senha,Configurar acesso compartilhado,Ronaldo F.,1.0,02/03/2026,06/03/2026
2,INSTAGRAM,FCX CONSULTORIA,Bio — descrição do perfil,"Texto, link e emojis",Ronaldo F.,1.0,02/03/2026,13/03/2026
3,INSTAGRAM,FCX CONSULTORIA,Linktree — criação e links,Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,1.0,09/03/2026,20/03/2026
4,INSTAGRAM,FCX CONSULTORIA,Destaques — Vitrine & Branding,Capas padronizadas por categoria. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,16/03/2026,20/03/2026
5,INSTAGRAM,FCX CONSULTORIA,Feed — Quem somos (Carrossel/Vídeo),Apresentação institucional,Ronaldo F.,1.0,02/02/2026,06/03/2026
6,INSTAGRAM,FCX CONSULTORIA,Feed — O que fazemos (Serviços),RCT ADM / PTA / RCT JUD / APT / Holding / M&A. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,02/02/2026,20/03/2026
7,INSTAGRAM,FCX CONSULTORIA,Feed — Benefícios,Carrossel / Vídeo. Beneficios de cada Int. Consultiva. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,02/02/2026,20/03/2026
8,INSTAGRAM,FCX CONSULTORIA,Feed — Resultados (Cases),Carrossel / Vídeo com dados reais,Ronaldo F.,0.0,02/02/2026,31/03/2026
9,INSTAGRAM,FCX CONSULTORIA,Valorizando a Nossa Casa,Conteúdo de cultura interna,Ronaldo F.,0.0,02/02/2026,30/04/2026
10,INSTAGRAM,FCX CONSULTORIA,Percepção de Mercado — Nutrição Relacionamento,Interações e comentários,Ronaldo F.,0.0,02/02/2026,30/04/2026
11,INSTAGRAM,FCX CONSULTORIA,Caixa de Perguntas (Engajamento),Stories interativos semanais. Incluir destaques,Ronaldo F.,0.0,02/02/2026,30/04/2026
12,INSTAGRAM,CONTABILIDADE ALAVANCADA,Acesso — login e senha,Configurar acesso compartilhado,Ronaldo F.,1.0,02/03/2026,06/03/2026
13,INSTAGRAM,CONTABILIDADE ALAVANCADA,Bio e Linktree,Atualizar texto e links,Ronaldo F.,1.0,02/03/2026,13/03/2026
14,INSTAGRAM,CONTABILIDADE ALAVANCADA,Destaques — Vitrine & Branding,Capas padronizadas. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,16/03/2026,31/03/2026
15,INSTAGRAM,CONTABILIDADE ALAVANCADA,Feed — Conteúdo completo (5 posts),"Quem somos, Serviços, Benefícios, Cases, Resultados",Ronaldo F.,0.7,16/03/2026,31/03/2026
16,INSTAGRAM,CONTABILIDADE ALAVANCADA,Nutrição e Engajamento,Percepção de mercado + Caixa de perguntas,Ronaldo F.,0.0,01/04/2026,30/04/2026
17,INSTAGRAM,RONALDO FCX,Acesso e configuração inicial,Login + bio + linktree,Ronaldo F.,1.0,02/02/2026,06/03/2026
18,INSTAGRAM,RONALDO FCX,Feed — Conteúdo Thought Leadership (5 posts),Posicionar Ronaldo como especialista - Ação semanal continua,Ronaldo F.,0.7,02/02/2026,31/03/2026
19,INSTAGRAM,RONALDO FCX,Nutrição e Engajamento,Interações diárias,Ronaldo F.,0.0,23/03/2026,30/04/2026
20,INSTAGRAM,SUPERMERCADO ALAVANCADO,Acesso — login e senha,Configurar acesso,Ronaldo F.,1.0,02/03/2026,06/03/2026
21,INSTAGRAM,SUPERMERCADO ALAVANCADO,Feed e Destaques completos,"Bio, destaques, 5 posts",Ronaldo F.,0.5,16/03/2026,31/03/2026
22,INSTAGRAM,SUPERMERCADO ALAVANCADO,Nutrição e Engajamento,Percepção de mercado,Ronaldo F.,0.0,01/04/2026,30/04/2026
23,INSTAGRAM,FCX ADV,Acesso e setup completo,Login + bio + linktree + destaques,Ronaldo F.,0.15,09/03/2026,31/03/2026
24,INSTAGRAM,FCX ADV,Feed — Conteúdo completo (5 posts),Especialidades jurídicas FCX - Postagens diárias. Ação continua,Ronaldo F.,0.3,23/03/2026,31/03/2026
25,INSTAGRAM,FCX ADV,Nutrição e Engajamento,Interações mensais,Ronaldo F.,0.0,01/04/2026,30/04/2026
26,INSTAGRAM,FCX USA,Acesso e configuração do perfil,Setup completo bilíngue,Ronaldo F.,1.0,02/03/2026,09/03/2026
27,INSTAGRAM,FCX USA,Feed — Conteúdo Bilíngue (5 posts),"PT-BR e EN — Serviços, Cases, Benefícios",Ronaldo F.,0.0,01/04/2026,30/04/2026
28,INSTAGRAM,FCX USA,Nutrição e Engajamento,Foco no público norte-americano,Ronaldo F.,0.0,01/04/2026,30/04/2026
29,FACEBOOK,FCX CONSULTORIA,Acesso e configuração da página,"Admin, bio, links, foto de capa",Ronaldo F.,1.0,09/03/2026,20/03/2026
30,FACEBOOK,FCX CONSULTORIA,Feed — Conteúdo espelhado do Instagram (5 posts),Reaproveitamento de conteúdo - à confirmar,Ronaldo F.,0.0,23/03/2026,31/03/2026
31,FACEBOOK,CONTABILIDADE ALAVANCADA,Setup e conteúdo completo,Espelho Instagram,Ronaldo F.,0.0,23/03/2026,30/04/2026
32,FACEBOOK,RONALDO FCX,Setup e conteúdo thought leadership,Posts de autoridade,Ronaldo F.,0.0,01/04/2026,01/05/2026
33,FACEBOOK,SUPERMERCADO ALAVANCADO,Setup e conteúdo completo,Espelho Instagram,Ronaldo F.,0.0,23/03/2026,30/04/2026
34,FACEBOOK,FCX ADV,Setup e conteúdo jurídico,Especialidades legais,Ronaldo F.,0.0,01/04/2026,01/05/2026
35,FACEBOOK,FCX USA,Setup bilíngue e conteúdo,PT-BR e EN,Ronaldo F.,0.0,13/04/2026,29/05/2026
36,LINKEDIN,FCX CONSULTORIA,Acesso e configuração da página empresarial,"Admin, banner, about, especialidades",Ronaldo F.,1.0,02/02/2026,06/03/2026
37,LINKEDIN,FCX CONSULTORIA,Conteúdo — Feed B2B (5 posts),"Autoridade, cases, dados de mercado",Ronaldo F.,0.0,01/04/2026,30/04/2026
38,LINKEDIN,FCX CONSULTORIA,Rotina de publicação semanal,Mín. 2x/semana — artigos e insights,Ronaldo F.,0.0,01/04/2026,30/04/2026
39,LINKEDIN,CONTABILIDADE ALAVANCADA,Setup e conteúdo B2B,Direcionado a contadores e empresas,Ronaldo F.,0.0,23/03/2026,01/05/2026
40,LINKEDIN,RONALDO FCX,Perfil pessoal — thought leadership,2 posts/semana — posicionamento de especialista,Ronaldo F.,0.0,09/03/2026,30/06/2026
41,LINKEDIN,SUPERMERCADO ALAVANCADO,Setup e conteúdo segmento varejo,,Ronaldo F.,0.0,01/04/2026,15/05/2026
42,LINKEDIN,FCX ADV,Setup e conteúdo jurídico,,Ronaldo F.,0.0,01/04/2026,15/05/2026
43,LINKEDIN,FCX USA,Setup bilíngue e conteúdo internacional,EN + PT-BR,Ronaldo F.,0.0,13/04/2026,29/05/2026
44,INTRANET (SHAREPOINT),ARTES,Criar biblioteca de artes no SharePoint,"Templates, logos, ícones, paleta de cores",Ronaldo F.,0.0,09/03/2026,31/03/2026
