FCX CONSULTORIA EMPRESARIAL  |  DEPARTAMENTO DE MARKETING  |  PLANO DE AÇÃO E CRONOGRAMA — 1º SEMESTRE 2026;;;;;;;;;;;;;;;;;;;;;;;;;;
Responsável: Ronaldo Ferreira   |   Início do Projeto: 03/02/2026   |   Período: Mar–Jun 2026   |   Metodologia: Gantt;;;;;;;;;;;;;;;;;;;;;;;;;;
LEGENDA:;  Concluído;;  Em andamento;;  Não iniciado;;  Atrasado / Bloqueado;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
PLANO DE AÇÃO — ESTRUTURAÇÃO DO DEPARTAMENTO DE MARKETING FCX;;;;;;;;;mar/26;;;;;abr/26;;;;mai/26;;;;jun/26;;;;
;;;;;;;;;S02/03;S09/03;S16/03;S23/03;S30/03;S06/04;S13/04;S20/04;S27/04;S04/05;S11/05;S18/05;S25/05;S01/06;S08/06;S15/06;S22/06;S29/06
#;FRENTE / CANAL;SUBCATEGORIA;TAREFA / AÇÃO;OBSERVAÇÕES / DETALHES;RESPONSÁVEL;PROGRESSO;INÍCIO;TÉRMINO;;;;;;;;;;;;;;;;;;
  ▸  INSTAGRAM;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FCX CONSULTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;
1;INSTAGRAM;1.1. FCX CONSULTORIA;Acesso — login e senha;Configurar acesso compartilhado;Ronaldo F.;100%;02/03/2026;06/03/2026;;;;;;;;;;;;;;;;;;
2;INSTAGRAM;1.1. FCX CONSULTORIA;Bio — descrição do perfil;Texto, link e emojis;Ronaldo F.;100%;02/03/2026;13/03/2026;;;;;;;;;;;;;;;;;;
3;INSTAGRAM;1.1. FCX CONSULTORIA;Linktree — criação e links;;Ronaldo F.;100%;09/03/2026;20/03/2026;;;;;;;;;;;;;;;;;;
4;INSTAGRAM;1.1. FCX CONSULTORIA;Destaques — Vitrine & Branding;Capas padronizadas por categoria. Aguardando aprovação do Ronaldo Ferreira;Ronaldo F.;90%;16/03/2026;20/03/2026;;;;;;;;;;;;;;;;;;
5;INSTAGRAM;1.1. FCX CONSULTORIA;Feed — Quem somos (Carrossel/Vídeo);Apresentação institucional;Ronaldo F.;100%;02/02/2026;06/03/2026;;;;;;;;;;;;;;;;;;
6;INSTAGRAM;1.1. FCX CONSULTORIA;Feed — O que fazemos (Serviços);RCT ADM / PTA / RCT JUD / APT / Holding / M&A / Reforma Tributária.;Ronaldo F.;80%;02/02/2026;20/03/2026;;;;;;;;;;;;;;;;;;
7;INSTAGRAM;1.1. FCX CONSULTORIA;Feed — Benefícios;Carrossel / Vídeo. Beneficios de cada Int. Consultiva. Aguardando aprovação do Ronaldo Ferreira;Ronaldo F.;90%;02/02/2026;20/03/2026;;;;;;;;;;;;;;;;;;
8;INSTAGRAM;1.1. FCX CONSULTORIA;Feed — Resultados (Cases);Carrossel / Vídeo com dados reais;Ronaldo F.;0%;02/02/2026;31/03/2026;;;;;;;;;;;;;;;;;;
9;INSTAGRAM;1.1. FCX CONSULTORIA;Valorizando a Nossa Casa;Conteúdo de cultura interna - Definir quais conteúdos;Ronaldo F.;0%;02/02/2026;30/04/2026;;;;;;;;;;;;;;;;;;
10;INSTAGRAM;1.1. FCX CONSULTORIA;Percepção de Mercado — Nutrição Relacionamento;Interações e comentários;Ronaldo F.;0%;02/02/2026;30/04/2026;;;;;;;;;;;;;;;;;;
11;INSTAGRAM;1.1. FCX CONSULTORIA;Caixa de Perguntas (Engajamento);Stories interativos semanais. Incluir destaques. Criar template;Ronaldo F.;0%;02/02/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.2. CONTABILIDADE ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
12;INSTAGRAM;1.2. CONTABILIDADE ALAVANCADA;Acesso — login e senha;Configurar acesso compartilhado;Ronaldo F.;100%;02/03/2026;06/03/2026;;;;;;;;;;;;;;;;;;
13;INSTAGRAM;1.2. CONTABILIDADE ALAVANCADA;Bio e Linktree;Atualizar texto e links;Ronaldo F.;100%;02/03/2026;13/03/2026;;;;;;;;;;;;;;;;;;
14;INSTAGRAM;1.2. CONTABILIDADE ALAVANCADA;Destaques — Vitrine & Branding;Capas padronizadas. Aguardando aprovação do Ronaldo Ferreira;Ronaldo F.;80%;16/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
15;INSTAGRAM;1.2. CONTABILIDADE ALAVANCADA;Feed — Conteúdo completo (5 posts);Quem somos, Serviços, Benefícios, Cases, Resultados;Ronaldo F.;70%;16/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
